,SchoolCode,Expenditure
0,0,15904165929
1,1500,261036
2,1502,2162588
3,1506,932919
4,1508,2656577
5,1510,4397801
6,1516,3784450
7,1518,198079
8,1519,2772899
9,1520,3168905
10,1523,280439
11,1530,869583
12,1533,1080344
13,1534,169031
14,1537,2743915
15,1539,2349525
16,1547,1912665
17,1558,74131
18,1559,411558
19,1560,885126
20,1566,354117
21,1567,3065116
22,1570,175246
23,1574,2686133
24,1579,7869238
25,1585,1279367
26,1594,973136
27,1596,6278745
28,1603,24572
29,1604,160480
30,1605,143141
31,1612,4414
32,1613,4217393
33,1617,1142246
34,1620,9473246
35,1621,267171
36,1624,318826
37,1627,1197623
38,1628,2841754
39,1629,683985
40,1635,11422929
41,1640,2518637
42,1643,29962
43,1646,4044211
44,1647,3316090
45,1648,107952
46,1649,695314
47,1650,714337
48,1656,2005109
49,1657,2308352
50,1658,900803
51,1663,2509
52,1667,234941
53,1670,428616
54,1671,327677
55,1672,16043
56,1675,474580
57,1677,4036
58,1680,842831
59,1682,1509781
60,1683,37930
61,1685,8438867
62,1687,889908
63,1688,1323305
64,1689,7244948
65,1698,1707735
66,1699,2899748
67,1706,5655830
68,1707,2153157
69,1708,1832749
70,1712,6124112
71,1713,1223427
72,1714,799591
73,1715,191166
74,1718,2157396
75,1724,551794
76,1730,175961
77,1733,817931
78,1735,789596
79,1737,2050084
80,1738,671401
81,1742,1901049
82,1743,98037
83,1744,354313
84,1749,284368
85,1751,2621540
86,1753,916266
87,1754,595383
88,1755,2681665
89,1756,492861
90,1758,2224079
91,1759,4380071
92,1763,1057568
93,1767,50436
94,1768,2023384
95,1769,706439
96,1771,1300899
97,1776,665308
98,1777,7631862
99,1781,89245
100,1784,1229935
101,1787,43149
102,1789,4143815
103,1795,770717
104,1796,10820238
105,1797,252102
106,1798,630043
107,1799,39909
108,1800,1665168
109,1802,188507
110,1803,1445889
111,1804,958467
112,1806,1262720
113,1807,185091
114,1814,1966478
115,1815,420934
116,1820,111510
117,1822,663153
118,1823,505940
119,1825,558941
120,1829,387481
121,1830,478345
122,1831,2187201
123,1835,190626
124,1836,5185720
125,1838,1787345
126,1841,1590609
127,1842,1729909
128,1845,141887
129,1848,2025536
130,1852,3153042
131,1854,1365212
132,1856,4033210
133,1858,4191079
134,1860,9004660
135,1861,556866
